listing_id,url,district,price,area_sqm,rooms,age_years,predicted_annual_rent,expected_yield_pct
6575944,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عمر-بن-عبدالقادر-مفتي-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6575944,حي المهدية,675000.0,130.0,3.0,0.0,70605.34676868244,10.46
6689422,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-السعادة/شارع-شهيد-الدين-ثم-الوطن-عبدالرحمن-سعيد-عبدالرحمن-الشهراني-حي-السعادة-مدينة-الرياض-منطقة-الرياض-6689422,حي السعادة,559000.0,114.0,3.0,0.0,58104.35895237597,10.39
6614114,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الغربي/شارع-عبدالله-الفضل-حي-النسيم-الغربي-مدينة-الرياض-منطقة-الرياض-6614114,حي النسيم الغربي,585000.0,118.0,3.0,0.0,60736.93171663038,10.38
6593437,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-أبحير-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6593437,حي طيبة,450000.0,182.0,3.0,0.0,46565.61234136233,10.35
6735383,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-محمد-الدره-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6735383,حي الرمال,460000.0,73.0,4.0,0.0,47456.50288019988,10.32
6722619,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الحزم/شارع-القليب-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6722619,حي الحزم,400000.0,160.0,5.0,11.0,41233.96295093798,10.31
6666333,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-السعادة/شارع-الرواجي-حي-السعادة-مدينة-الرياض-منطقة-الرياض-6666333,حي السعادة,650000.0,97.0,4.0,0.0,66969.28218355718,10.3
6376207,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6376207,حي المعيزلة,460000.0,53.0,2.0,0.0,47275.79686054686,10.28
6573004,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-أبي-بكر-القيم-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6573004,حي المهدية,650000.0,110.0,3.0,0.0,66745.66163170613,10.27
6773660,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-المروة/شارع-محمد-بن-أحمد-أبي-شيبة-حي-المروة-مدينة-الرياض-منطقة-الرياض-6773660,حي المروة,340000.0,97.0,3.0,0.0,34915.07482201894,10.27
6669700,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الحسن-الأسفرائيني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6669700,حي المهدية,670000.0,129.0,4.0,0.0,68830.88520912638,10.27
6730058,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-أسعد-بن-أحمد-دهان-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6730058,حي الرمال,399000.0,100.0,3.0,0.0,40977.62551339458,10.27
6771416,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ابن-عبدالجبار-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6771416,حي النسيم الشرقي,550000.0,92.0,3.0,0.0,56256.800664300645,10.23
6581306,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-الخضارم-حي-بدر-مدينة-الرياض-منطقة-الرياض-6581306,حي بدر,370000.0,171.0,5.0,10.0,37788.30124505125,10.21
6714839,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-رقم-27-حي-بدر-مدينة-الرياض-منطقة-الرياض-6714839,حي بدر,370000.0,171.0,5.0,10.0,37764.403698153685,10.21
6780718,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-أحمد-بن-الأزرق-حي-البيان-مدينة-الرياض-منطقة-الرياض-6780718,حي الشرق,400000.0,65.0,3.0,0.0,40684.397149147146,10.17
6605572,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الحسن-الأسفرائيني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6605572,حي المهدية,700000.0,120.0,3.0,0.0,71066.85677545134,10.15
6358928,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-علي-البجادي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6358928,حي الرمال,600000.0,161.0,3.0,0.0,60771.58385846456,10.13
6509580,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-الفاروق/حي-الفاروق-مدينة-الرياض-منطقة-الرياض-6509580,حي الفاروق,600000.0,133.0,3.0,0.0,60680.00724899091,10.11
6753296,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6753296,حي عكاظ,280000.0,53.0,2.0,0.0,28295.50629359747,10.11
6773665,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الشفا/شارع-أبي-محمد-الأنصاري-حي-الشفاء-مدينة-الرياض-منطقة-الرياض-6773665,حي الشفا,340000.0,102.0,3.0,0.0,34359.402520627526,10.11
6352009,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-جرش-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6352009,حي النسيم الشرقي,585063.0,159.0,4.0,0.0,59064.67381692381,10.1
6605789,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6605789,حي المهدية,650000.0,106.0,3.0,0.0,65547.69283309286,10.08
6606828,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6606828,حي المهدية,650000.0,106.0,3.0,0.0,65547.69283309286,10.08
6606889,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6606889,حي المهدية,650000.0,106.0,3.0,0.0,65547.69283309286,10.08
6559341,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-الحسن-الأنصاري-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6559341,حي المهدية,600000.0,107.0,3.0,0.0,60502.321366596356,10.08
6515867,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-1414-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6515867,حي الرمال,550000.0,77.0,3.0,0.0,55459.72459947459,10.08
