listing_id,url,district,price,area_sqm,rooms,predicted_annual_rent,expected_yield_pct
6751878,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-298-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6751878,حي الملقا,1310000.0,147.0,3.0,86850.09980337111,6.63
6755901,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-أبي-طاهر-إسماعيل-الجيطالي-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6755901,حي النرجس,1200000.0,131.0,3.0,79501.5929162335,6.63
6723616,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الأمير-يزيد-بن-عبدالله-بن-عبدالرحمن-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6723616,حي الملقا,1400000.0,126.0,3.0,92707.78544996014,6.62
6626167,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الندى/شارع-القشاشية-حي-الندى-مدينة-الرياض-منطقة-الرياض-6626167,حي الندى,1500000.0,141.0,3.0,99290.51538152731,6.62
6427192,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-القماري-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6427192,حي المونسية,980000.0,131.0,3.0,64875.64298603613,6.62
6558143,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-عروة-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6558143,حي المهدية,720000.0,140.0,3.0,47664.96729810005,6.62
6560877,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-الزهرة-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6560877,حي المونسية,1070000.0,147.0,4.0,70845.83194311136,6.62
6701640,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-أم-عمارة-حي-بدر-مدينة-الرياض-منطقة-الرياض-6701640,حي بدر,575000.0,182.0,5.0,38038.318903318905,6.62
6489279,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الهفوف-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6489279,حي ظهرة لبن,850000.0,147.0,4.0,56273.36388537392,6.62
6750192,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-يدمة-حي-النرجس-الرياض-منطقة-الرياض-6750192,حي النرجس,1200000.0,140.0,2.0,79483.28533747117,6.62
6501967,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-الفوانيس-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6501967,حي عرقة,1250000.0,135.0,2.0,82716.78359880862,6.62
6749369,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/شارع-وادي-الهدار-حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6749369,حي ضاحية نمار,500000.0,146.0,4.0,33117.79204360454,6.62
