listing_id,url,district,rooms,price,area_sqm,expected_annual_rent_sakani,sakani_deals_count,sakani_trusted,expected_yield_pct_sakani,ad_price_per_sqm,comparable_sale_deals_count,comparable_median_price_per_sqm,price_ratio,verdict_price
6478398,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحلوة-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6478398,حي الملقا,3.0,900000.0,96.0,54800,1400,True,6.09,9375,55,9250.0,1.01,🟢 سعر عادل
6669480,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحلوة-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6669480,حي الملقا,3.0,900000.0,94.0,54800,1400,True,6.09,9574,49,9260.0,1.03,🟢 سعر عادل
6587602,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحلوة-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6587602,حي الملقا,3.0,900000.0,94.0,54800,1400,True,6.09,9574,49,9260.0,1.03,🟢 سعر عادل
6762014,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-شعيب-المغربي-حي-النرجس-الرياض-منطقة-الرياض-6762014,حي النرجس,4.0,950000.0,120.0,57600,863,True,6.06,7917,583,8477.0,0.93,🟢 سعر عادل
6569902,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-الفجر-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6569902,حي المونسية,4.0,650000.0,124.0,39300,684,True,6.05,5242,93,7108.0,0.74,🟢 سعر عادل
6598927,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-جار-الله-بن-ظهيره-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6598927,حي الرمال,3.0,500000.0,89.0,30100,3400,True,6.02,5618,180,5772.0,0.97,🟢 سعر عادل
6649830,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-تميم-الجرجاني-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6649830,حي الرمال,3.0,500000.0,130.0,30100,3400,True,6.02,3846,423,5213.0,0.74,🟢 سعر عادل
6783121,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-أحمد-بن-شبانة-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6783121,حي القيروان,3.0,950000.0,103.0,56900,537,True,5.99,9223,30,7562.0,1.22,🟡 مبالغ فيه
6702685,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-التحلية-حي-حطين-الرياض-منطقة-الرياض-6702685,حي حطين,3.0,1150000.0,150.0,68700,391,True,5.97,7667,52,9383.0,0.82,🟢 سعر عادل
6749137,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-الفجر-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6749137,حي المونسية,3.0,600000.0,124.0,35700,2100,True,5.95,4839,93,7108.0,0.68,🟢 سعر عادل
6741479,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-خليل-الصفدي-حي-العارض-مدينة-الرياض-منطقة-الرياض-6741479,حي العارض,3.0,750000.0,275.0,44600,1600,True,5.95,2727,9,7265.0,0.38,🔴 REVIEW
6482308,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-463-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6482308,حي المونسية,3.0,600000.0,275.0,35700,2100,True,5.95,2182,7,6326.0,0.34,🔴 REVIEW
6554174,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-دمياط-الجديده-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6554174,حي قرطبة,3.0,800000.0,124.0,47500,1400,True,5.94,6452,68,6998.0,0.92,🟢 سعر عادل
6708966,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-طارق-بن-شهاب-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6708966,حي النرجس,4.0,970000.0,124.0,57600,863,True,5.94,7823,602,8517.0,0.92,🟢 سعر عادل
6624732,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-ابراهيم-بن-الاحمدي-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6624732,حي القيروان,2.0,900000.0,105.0,53400,190,True,5.93,8571,34,7747.0,1.11,🟢 سعر عادل
6757621,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-شهيد-الدين-ثم-الوطن-يحيى-محمد-يحيى-الش-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6757621,حي القيروان,2.0,900000.0,115.0,53400,190,True,5.93,7826,80,6003.0,1.3,🟡 مبالغ فيه
6650222,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-شمس-الدين-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6650222,حي القيروان,4.0,1050000.0,132.0,62300,204,True,5.93,7955,126,5805.0,1.37,🟡 مبالغ فيه
